symbol,publishedDate,title,image,site,text,url
CART,2025-05-29 13:01:17,Here's Why Maplebear (CART) is a Great Momentum Stock to Buy,https://images.financialmodelingprep.com/news/heres-why-maplebear-cart-is-a-great-momentum-stock-20250529.jpg,zacks.com,Does Maplebear (CART) have what it takes to be a top stock pick for momentum investors? Let's find out.,https://www.zacks.com/stock/news/2479151/here-s-why-maplebear-cart-is-a-great-momentum-stock-to-buy?cid=CS-STOCKNEWSAPI-FT-tale_of_the_tape|yseop_template_10-2479151
CART,2025-05-28 13:03:49,Instacart Picks Chief Business Officer Chris Rogers as New CEO,https://images.financialmodelingprep.com/news/instacart-picks-chief-business-officer-chris-rogers-as-new-20250528.jpg,pymnts.com,"Instacart promoted its chief business officer to the company's top leadership role. Chris Rogers will become CEO of the grocery delivery platform Aug. 15, according to a Wednesday (May 28) press release.",https://www.pymnts.com/personnel/2025/instacart-picks-chief-business-officer-chris-rogers-new-ceo/
CART,2025-05-28 09:21:01,Instacart appoints insider Chris Rogers as CEO,https://images.financialmodelingprep.com/news/instacart-appoints-insider-chris-rogers-as-ceo-20250528.jpg,reuters.com,"Delivery platform Instacart on Wednesday said it has appointed company insider Chris Rogers as chief executive officer, effective August 15, as the current head Fidji Simo is set to exit to join OpenAI.",https://www.reuters.com/sustainability/boards-policy-regulation/instacart-appoints-insider-chris-rogers-ceo-2025-05-28/
CART,2025-05-28 09:00:00,INSTACART APPOINTS CHRIS ROGERS AS CHIEF EXECUTIVE OFFICER,https://images.financialmodelingprep.com/news/instacart-appoints-chris-rogers-as-chief-executive-officer-20250528.jpg,prnewswire.com,"SAN FRANCISCO , May 28, 2025 /PRNewswire/ -- Instacart (NASDAQ:CART), the leading grocery technology company in North America, today announced that it has appointed Chris Rogers as Chief Executive Officer, effective August 15, reporting to Instacart's Board of Directors. He'll also join Instacart's Board of Directors upon assuming the role of CEO.",https://www.prnewswire.com/news-releases/instacart-appoints-chris-rogers-as-chief-executive-officer-302466951.html
CART,2025-05-28 09:00:00,Instacart appoints chief business officer Chris Rogers as new CEO,https://images.financialmodelingprep.com/news/instacart-appoints-chief-business-officer-chris-rogers-as-new-20250528.jpg,techcrunch.com,"Instacart announced on Wednesday that its chief business officer, Chris Rogers, has been appointed as the company's new CEO. The appointment is effective August 15.",https://techcrunch.com/2025/05/28/instacart-appoints-chief-business-officer-chris-rogers-as-new-ceo/
CART,2025-05-23 13:00:49,"The Big 3: AMZN, CART, ROKU",https://images.financialmodelingprep.com/news/the-big-3-amzn-cart-roku-20250523.jpg,youtube.com,"Mike Shorr with @ProsperTradingAcademy focuses on three companies with expansive reach in ecommerce and digital advertising. He notes Maplebear (CART) brushing up against a key resistance level, Roku Inc.'s (ROKU) vulnerability of ""outperforming to the downside,"" and his bullish expectations on Amazon (AMZN).",https://www.youtube.com/watch?v=_YkCjd0oojs
CART,2025-05-20 16:42:46,The Billionaire Portfolio: 3 Stocks Wealthy Investors Can't Get Enough Of,https://images.financialmodelingprep.com/news/the-billionaire-portfolio-3-stocks-wealthy-investors-cant-get-20250520.jpg,247wallst.com,Picking through the proverbial haystacks to find the needles smart-money investors are targeting is a difficult task to do on one's own.,https://247wallst.com/investing/2025/05/20/the-billionaire-portfolio-3-stocks-wealthy-investors-cant-get-enough-of/
CART,2025-05-19 10:41:06,4 Stocks to Buy as Retail Sales Grow Despite Tariff Threats,https://images.financialmodelingprep.com/news/4-stocks-to-buy-as-retail-sales-grow-despite-20250519.jpg,zacks.com,"Stocks like CART, CNXN, CVNA and JWN are likely to benefit from the steady growth in retail sales.",https://www.zacks.com/stock/news/2474022/4-stocks-to-buy-as-retail-sales-grow-despite-tariff-threats?cid=CS-STOCKNEWSAPI-FT-analyst_blog|investment_ideas-2474022
CART,2025-05-08 03:25:00,OpenAI Hires Instacart CEO as Head of Applications,https://images.financialmodelingprep.com/news/openai-hires-instacart-ceo-as-head-of-applications-20250508.jpg,wsj.com,OpenAI said Instacart's chief executive is joining the company to lead its applications business as the ChatGPT maker looks to scale its operations and drive growth.,https://www.wsj.com/tech/openai-hires-instacart-ceo-as-head-of-applications-a60b99ce
CART,2025-05-08 01:53:46,OpenAI Hires Instacart C.E.O. to Run Business and Operations,https://images.financialmodelingprep.com/news/openai-hires-instacart-ceo-to-run-business-and-operations-20250508.jpg,nytimes.com,"Sam Altman, OpenAI's chief executive, said he hired Instacart's Fidji Simo to join in a new role as chief executive of applications.",https://www.nytimes.com/2025/05/08/technology/openai-fidji-simo.html
